Last N days,Profit Ratio,Time to Ship,City,Customer,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Category,Container,Product Name,Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Supplier,Unit Price,Customer Zip Code
3034,-81.54%,7,Highland Park,Muhammed MacIntyre,Small Business,4.0%,1,10/13/2010 12:00:00 AM,3,Low,6,0.8,Office Supplies,Large Box,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,($213),Central,1,$262,10/20/2010 12:00:00 AM,Regular Air,$35,Illinois,Eldon,$39,60035
2539,-66.96%,1,Edmonds,Ruben Dartt,Corporate,1.0%,1,2/20/2012 12:00:00 AM,6,Not Specified,2,0.55,Office Supplies,Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,"Scissors, Rulers and Trimmers",($5),West,2,$7,2/21/2012 12:00:00 AM,Regular Air,$3,Washington,Other,$2,98026
2759,37.56%,2,Elk Plain,Liz Pelletier,Corporate,7.0%,1,7/15/2011 12:00:00 AM,32,High,26,0.65,Furniture,Medium Box,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Office Furnishings,"$1,055",West,3,"$2,808",7/17/2011 12:00:00 AM,Regular Air,$6,Washington,Other,$108,98387
2759,-99.27%,1,Elk Plain,Liz Pelletier,Corporate,9.0%,1,7/15/2011 12:00:00 AM,32,High,24,0.72,Furniture,Jumbo Box,KI Conference Tables,Tables,"($1,749)",West,4,"$1,761",7/16/2011 12:00:00 AM,Delivery Truck,$89,Washington,Other,$71,98387
2759,-53.13%,2,Elk Plain,Liz Pelletier,Corporate,4.0%,1,7/15/2011 12:00:00 AM,32,High,23,0.6,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,($85),West,5,$160,7/17/2011 12:00:00 AM,Regular Air,$5,Washington,Other,$8,98387
2759,-91.33%,1,High Point,Liz Pelletier,Corporate,4.0%,1,7/15/2011 12:00:00 AM,32,High,15,0.79,Technology,Small Pack,"Imation 3.5 IBM Diskettes, 10/Box",Computer Peripherals,($128),South,6,$141,7/16/2011 12:00:00 AM,Regular Air,$9,North Carolina,Other,$8,27260
2660,21.04%,1,Ames,Julie Creighton,Corporate,3.0%,1,10/22/2011 12:00:00 AM,35,Not Specified,30,0.52,Office Supplies,Wrap Bag,Dixon Ticonderoga Core-Lock Colored Pencils,Pens & Art Supplies,$61,Central,7,$289,10/23/2011 12:00:00 AM,Regular Air,$2,Iowa,Other,$9,50010
2660,2.59%,2,Ames,Julie Creighton,Corporate,1.0%,1,10/22/2011 12:00:00 AM,35,Not Specified,14,0.58,Technology,Small Box,CF 688,Telephones and Communication,$49,Central,8,"$1,893",10/24/2011 12:00:00 AM,Regular Air,$9,Iowa,Other,$156,50010
2649,26.46%,0,Albany,Sample Company A,Home Office,10.0%,1,11/2/2011 12:00:00 AM,36,Critical,46,0.55,Technology,Small Box,6162i,Telephones and Communication,$657,West,9,"$2,485",11/2/2011 12:00:00 AM,Regular Air,$4,Oregon,Other,$66,97321
2879,38.56%,1,Pflugerville,Tamara Dahlen,Corporate,2.0%,1,3/17/2011 12:00:00 AM,65,Critical,32,0.49,Technology,Small Pack,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Computer Peripherals,"$1,470",Central,10,"$3,813",3/18/2011 12:00:00 AM,Regular Air,$2,Texas,Other,$116,78660
3666,7.00%,0,Santa Fe,Arthur Gainer,Consumer,9.0%,1,1/19/2009 12:00:00 AM,66,Low,41,0.56,Office Supplies,Wrap Bag,Newell 340,Pens & Art Supplies,$8,West,11,$108,1/19/2009 12:00:00 AM,Regular Air,$1,New Mexico,Newell,$3,87505
3531,43.14%,2,Garner,Jonathan Doherty,Corporate,9.0%,1,6/3/2009 12:00:00 AM,69,Not Specified,42,0.44,Furniture,Small Pack,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Office Furnishings,$512,South,12,"$1,186",6/5/2009 12:00:00 AM,Regular Air,$4,North Carolina,Other,$31,27529
3531,0.68%,2,Garner,Jonathan Doherty,Corporate,3.0%,1,6/3/2009 12:00:00 AM,69,Not Specified,28,0.6,Office Supplies,Wrap Bag,Newell 308,Pens & Art Supplies,$0,South,13,$52,6/5/2009 12:00:00 AM,Express Air,$1,North Carolina,Newell,$2,27529
2969,-118.82%,5,East Meadow,Helen Wasserman,Home Office,3.0%,1,12/17/2010 12:00:00 AM,70,Low,48,0.82,Office Supplies,Wrap Bag,"Super Bands, 12/Pack",Rubber Bands,($107),East,14,$90,12/22/2010 12:00:00 AM,Regular Air,$3,New York,Other,$2,11554
2969,26.36%,5,East Meadow,Helen Wasserman,Home Office,5.0%,1,12/17/2010 12:00:00 AM,70,Low,46,0.59,Technology,Small Box,3285,Telephones and Communication,"$2,057",East,15,"$7,805",12/22/2010 12:00:00 AM,Regular Air,$6,New York,Other,$206,11554
3579,29.55%,2,Little Rock,Keith Dawkins,Home Office,1.0%,1,4/16/2009 12:00:00 AM,96,High,37,0.55,Technology,Small Box,SC7868i,Telephones and Communication,"$1,229",South,16,"$4,158",4/18/2009 12:00:00 AM,Regular Air,$9,Arkansas,Other,$126,72209
3292,37.37%,1,Prescott Valley,Craig Yedwab,Consumer,3.0%,1,1/28/2010 12:00:00 AM,97,Medium,26,0.38,Office Supplies,Small Box,Avery 498,Labels,$28,West,17,$76,1/29/2010 12:00:00 AM,Regular Air,$1,Arizona,Avery,$3,86314
2267,-69.04%,9,Moore,Pauline Chand,Corporate,9.0%,1,11/18/2012 12:00:00 AM,129,Low,4,0.37,Office Supplies,Small Box,Xerox 217,Paper,($23),Central,18,$33,11/27/2012 12:00:00 AM,Regular Air,$8,Oklahoma,Xerox,$6,73160
2462,-67.08%,2,Cleveland,Roy Collins,Corporate,5.0%,1,5/7/2012 12:00:00 AM,130,High,3,0.38,Technology,Medium Box,Canon MP41DH Printing Calculator,Office Machines,($310),South,19,$462,5/9/2012 12:00:00 AM,Express Air,$14,Tennessee,Canon,$151,37311
2462,12.48%,1,Cleveland,Roy Collins,Corporate,2.0%,1,5/7/2012 12:00:00 AM,130,High,29,0.37,Office Supplies,Small Box,Computer Printout Paper with Letter-Trim Perforations,Paper,$72,South,20,$575,5/8/2012 12:00:00 AM,Regular Air,$9,Tennessee,Other,$19,37311
2462,-56.80%,3,Cleveland,Roy Collins,Corporate,5.0%,1,5/7/2012 12:00:00 AM,130,High,23,0.6,Office Supplies,Small Box,Filing/Storage Totes and Swivel Casters,Storage & Organization,($134),South,21,$236,5/10/2012 12:00:00 AM,Regular Air,$9,Tennessee,Other,$10,37311
3159,-44.70%,1,Avenel,Emily Phan,Consumer,3.0%,1,6/10/2010 12:00:00 AM,132,Medium,27,0.6,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,($86),East,22,$193,6/11/2010 12:00:00 AM,Regular Air,$5,New Jersey,Other,$8,07001
3159,-15.05%,3,Lewiston,Emily Phan,Consumer,5.0%,1,6/10/2010 12:00:00 AM,132,Medium,30,0.69,Furniture,Jumbo Box,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,($604),East,23,"$4,012",6/13/2010 12:00:00 AM,Delivery Truck,$55,Maine,Other,$131,04240
2469,-27.39%,2,Brookfield,Michael Dominguez,Home Office,1.0%,1,4/30/2012 12:00:00 AM,134,Not Specified,11,,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,($310),Central,24,"$1,133",5/2/2012 12:00:00 AM,Regular Air,$35,Wisconsin,Other,$96,53005
2662,-70.92%,2,Troy,Anne Pryor,Consumer,9.0%,1,10/20/2011 12:00:00 AM,135,Not Specified,25,0.64,Technology,Small Pack,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,($89),East,25,$126,10/22/2011 12:00:00 AM,Regular Air,$5,New York,Other,$5,12180
2701,-22.20%,2,Tamarac,Valerie Takahito,Consumer,2.0%,1,9/11/2011 12:00:00 AM,166,High,10,0.55,Technology,Small Box,i270,Telephones and Communication,($126),South,26,$568,9/13/2011 12:00:00 AM,Express Air,$9,Florida,Other,$66,33319
3101,-21.18%,2,Bethpage,Justin Hirsh,Consumer,6.0%,1,8/7/2010 12:00:00 AM,193,Critical,14,0.57,Office Supplies,Medium Box,Eldon Simplefile® Box Office®,Storage & Organization,($37),East,27,$175,8/9/2010 12:00:00 AM,Regular Air,$6,New York,Eldon,$12,11714
2495,-59.95%,2,West Linn,Maria Zettner,Corporate,10.0%,1,4/4/2012 12:00:00 AM,194,Medium,49,0.42,Furniture,Wrap Bag,"Master Caster Door Stop, Large Neon Orange",Office Furnishings,($197),West,28,$329,4/6/2012 12:00:00 AM,Regular Air,$8,Oregon,Other,$7,97068
2495,-66.57%,2,West Linn,Maria Zettner,Corporate,4.0%,1,4/4/2012 12:00:00 AM,194,Medium,6,0.84,Office Supplies,Wrap Bag,Serrated Blade or Curved Handle Hand Letter Openers,"Scissors, Rulers and Trimmers",($13),West,29,$20,4/6/2012 12:00:00 AM,Regular Air,$2,Oregon,Other,$3,97068
2959,19.83%,2,Long Beach,Brad Thomas,Home Office,3.0%,1,12/27/2010 12:00:00 AM,195,Medium,34,0.41,Office Supplies,Wrap Bag,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,$261,West,30,"$1,316",12/29/2010 12:00:00 AM,Regular Air,$14,California,Other,$37,90805
2859,10.70%,2,Miramar,Penelope Sewall,Home Office,1.0%,1,4/6/2011 12:00:00 AM,197,High,23,0.6,Office Supplies,Small Pack,"Acme® 8"" Straight Scissors","Scissors, Rulers and Trimmers",$33,South,31,$311,4/8/2011 12:00:00 AM,Regular Air,$3,Florida,Acme,$13,33023
3517,-18.37%,1,Lemon Grove,Bart Folk,Corporate,9.0%,1,6/17/2009 12:00:00 AM,224,Not Specified,25,0.56,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,($34),West,32,$185,6/18/2009 12:00:00 AM,Regular Air,$5,California,Eldon,$7,91945
3517,-24.43%,1,Lemon Grove,Bart Folk,Corporate,4.0%,1,6/17/2009 12:00:00 AM,224,Not Specified,44,0.36,Office Supplies,Small Box,Xerox 193,Paper,($65),West,33,$268,6/18/2009 12:00:00 AM,Regular Air,$5,California,Xerox,$6,91945
3517,-28.37%,1,Lemon Grove,Bart Folk,Corporate,4.0%,1,6/17/2009 12:00:00 AM,224,Not Specified,33,0.58,Office Supplies,Small Box,"Decoflex Hanging Personal Folder File, Blue",Storage & Organization,($150),West,34,$529,6/18/2009 12:00:00 AM,Regular Air,$11,California,Other,$15,91945
2811,14.43%,1,Holbrook,Karen Ferguson,Home Office,6.0%,1,5/24/2011 12:00:00 AM,225,Critical,24,0.6,Office Supplies,Wrap Bag,Newell 314,Pens & Art Supplies,$18,East,35,$127,5/25/2011 12:00:00 AM,Regular Air,$1,New York,Newell,$6,11741
2811,-37.85%,2,Holbrook,Karen Ferguson,Home Office,5.0%,1,5/24/2011 12:00:00 AM,225,Critical,1,0.44,Office Supplies,Wrap Bag,Prismacolor Color Pencil Set,Pens & Art Supplies,($9),East,36,$24,5/26/2011 12:00:00 AM,Regular Air,$4,New York,Other,$20,11741
2958,16.80%,2,Blaine,Matt Abelman,Consumer,11.0%,1,12/28/2010 12:00:00 AM,229,Critical,43,0.48,Furniture,Small Pack,Nu-Dell Executive Frame,Office Furnishings,$98,Central,37,$586,12/30/2010 12:00:00 AM,Regular Air,$5,Minnesota,Other,$13,55434
2958,0.64%,1,Atlanta,Peter Fuller,Consumer,2.0%,1,12/28/2010 12:00:00 AM,229,Critical,24,0.39,Office Supplies,Small Box,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,$4,South,38,$599,12/29/2010 12:00:00 AM,Regular Air,$13,Georgia,Other,$25,30318
3021,15.78%,2,Burleson,Erin Creighton,Corporate,6.0%,1,10/26/2010 12:00:00 AM,230,Critical,47,0.58,Office Supplies,Small Pack,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Pens & Art Supplies,$320,Central,39,"$2,030",10/28/2010 12:00:00 AM,Regular Air,$9,Texas,Boston,$44,76028
3021,-18.99%,2,Burleson,Erin Creighton,Corporate,6.0%,1,10/26/2010 12:00:00 AM,230,Critical,11,0.57,Technology,Small Box,StarTAC ST7762,Telephones and Communication,($212),Central,40,"$1,118",10/28/2010 12:00:00 AM,Regular Air,$8,Texas,Other,$126,76028
3414,-71.16%,2,Hollywood,Sean Braxton,Small Business,6.0%,1,9/28/2009 12:00:00 AM,231,High,2,0.57,Office Supplies,Small Box,Hoover WindTunnel™ Plus Canister Vacuum,Appliances,($491),South,41,$690,9/30/2009 12:00:00 AM,Regular Air,$20,Florida,Other,$363,33021
2958,-59.05%,2,Auburn,Liz Willingham,Home Office,0.0%,1,12/28/2010 12:00:00 AM,258,Critical,21,0.36,Office Supplies,Small Box,Xerox 1984,Paper,($91),East,42,$154,12/30/2010 12:00:00 AM,Regular Air,$9,Maine,Xerox,$6,04210
